0;0;0;0;land;false;unknown;0
1;91;223;209;land;false;hills;1
2;124;236;204;land;false;mountain;1
3;146;246;186;land;false;forest;1
4;174;229;218;land;false;forest;1
5;219;112;181;land;false;forest;1
6;245;136;183;land;false;hills;1
7;173;249;237;land;false;forest;1
8;109;201;197;land;false;forest;1
9;220;91;206;land;false;desert;1
10;218;142;212;land;false;hills;1
11;189;254;58;land;false;hills;1
12;234;109;164;land;false;mountain;1
13;245;254;42;land;false;plains;1
14;115;222;245;land;true;forest;1
15;230;223;92;land;false;hills;1
16;195;197;123;land;false;hills;1
17;195;249;208;land;false;hills;1
18;227;254;196;land;false;forest;1
19;112;228;249;land;false;desert;1
20;65;252;194;land;false;desert;1
21;216;83;206;land;false;hills;1
22;236;207;198;land;false;plains;1
23;190;205;232;land;false;mountain;1
24;234;232;239;land;false;plains;1
25;143;158;245;land;true;plains;1
26;243;99;199;land;false;plains;1
27;241;224;183;land;false;mountain;1
28;78;254;172;land;true;mountain;1
29;92;231;185;land;false;desert;1
30;246;144;116;land;false;hills;1
31;195;139;213;land;false;hills;1
32;102;244;222;land;true;forest;1
33;219;95;233;land;false;desert;1
34;84;240;230;land;false;desert;1
35;222;138;245;land;false;desert;1
36;252;155;153;land;false;plains;1
37;240;105;192;land;true;plains;1
38;228;73;218;land;false;forest;1
39;244;29;233;land;false;mountain;1
40;113;236;211;land;false;desert;1
41;102;204;205;land;false;desert;1
42;228;253;43;land;false;hills;1
43;239;207;183;land;false;plains;1
44;57;238;250;land;false;mountain;1
45;202;248;165;land;false;plains;1
46;245;240;167;land;false;desert;1
47;87;222;193;land;false;plains;1
48;204;204;215;land;false;desert;1
49;213;157;246;land;true;jungle;1
50;220;234;206;land;false;mountain;1
51;183;115;214;land;false;plains;1
52;157;154;195;land;false;hills;1
53;165;232;183;land;false;forest;1
54;253;193;124;land;false;desert;1
55;193;250;134;land;false;urban;1
56;201;170;218;land;false;hills;1
57;197;237;202;land;false;plains;1
58;216;186;125;land;false;desert;1
59;233;186;233;land;false;forest;1
60;247;33;233;land;false;plains;1
61;142;224;172;land;false;mountain;1
62;231;105;206;land;false;hills;1
63;181;245;228;land;false;hills;1
64;164;112;229;land;false;hills;1
65;243;42;247;land;false;desert;1
66;162;190;222;land;false;plains;1
67;239;218;227;land;false;plains;1
68;234;236;212;land;false;mountain;1
69;142;126;245;land;false;hills;1
70;107;230;206;land;false;forest;1
71;210;169;191;land;false;jungle;1
72;190;99;244;land;false;desert;1
73;166;190;147;land;true;forest;1
74;214;245;198;land;false;desert;1
75;229;208;240;land;false;mountain;1
76;217;193;147;land;false;forest;1
77;191;161;230;land;false;desert;1
78;200;208;157;land;false;plains;1
79;70;205;253;land;false;mountain;1
80;174;199;160;land;false;hills;1
81;157;166;228;land;false;hills;1
82;166;182;216;land;false;plains;1
83;233;199;242;land;false;hills;1
84;173;243;249;land;true;plains;1
85;166;176;196;land;false;desert;1
86;198;180;188;land;false;mountain;1
87;201;121;200;land;false;hills;1
88;111;186;247;land;false;mountain;1
89;159;157;229;land;false;desert;1
90;121;210;198;land;true;hills;1
91;156;212;235;land;false;hills;1
92;235;124;198;land;false;hills;1
93;228;228;241;land;false;desert;1
94;222;247;34;land;false;mountain;1
95;172;215;235;land;false;plains;1
96;193;238;101;land;false;hills;1
97;205;144;152;land;false;desert;1
98;119;154;239;land;false;hills;1
99;246;176;235;land;false;desert;1
100;220;232;211;land;false;forest;1
101;156;253;156;land;false;hills;1
102;229;97;184;land;false;hills;1
103;245;117;241;land;false;hills;1
104;205;125;206;land;false;forest;1
105;114;197;239;land;false;mountain;1
106;188;221;97;land;false;plains;1
107;253;215;252;land;false;desert;1
108;117;235;214;land;false;mountain;1
109;209;253;78;land;true;hills;1
110;215;159;171;land;false;desert;1
111;247;148;244;land;false;mountain;1
112;227;205;115;land;false;forest;1
113;89;204;241;land;true;plains;1
114;212;138;222;land;false;plains;1
115;243;191;82;land;false;mountain;1
116;249;110;166;land;false;hills;1
117;228;134;187;land;false;hills;1
118;211;97;224;land;false;hills;1
119;202;243;104;land;false;hills;1
120;222;189;222;land;false;mountain;1
121;20;244;239;land;false;forest;1
122;148;153;247;land;false;desert;1
123;157;240;206;land;false;hills;1
124;185;118;221;land;false;mountain;1
125;194;95;240;land;false;hills;1
126;249;121;194;land;false;hills;1
127;205;186;128;land;true;jungle;1
128;119;142;245;land;false;hills;1
129;236;200;65;land;true;plains;1
130;158;189;205;land;true;plains;1
131;230;117;250;land;true;forest;1
132;16;248;247;land;false;hills;1
133;153;192;170;land;true;jungle;1
134;87;182;254;land;false;hills;1
135;254;130;207;land;false;mountain;1
136;241;115;189;land;false;forest;1
137;206;199;100;land;false;plains;1
138;178;228;182;land;false;hills;1
139;222;243;203;land;false;hills;1
140;231;218;135;land;false;plains;1
141;205;230;85;land;false;plains;1
142;194;202;252;land;false;plains;1
143;134;243;249;land;false;mountain;1
144;208;247;175;land;false;mountain;1
145;248;231;205;land;false;desert;1
146;156;177;252;land;true;plains;1
147;109;232;199;land;false;mountain;1
